,p,i,q,P,D,Q,score
375,1,1,1,2,2,2,0.9467123026742092
5,0,0,0,0,1,2,0.9466900669378133
616,2,1,1,2,2,2,0.9466747201753996
14,0,0,0,1,1,2,0.9466580705302675
20,0,0,0,2,0,2,0.946611143863015
711,2,2,2,1,2,2,0.9464744340296115
19,0,0,0,2,0,1,0.9464709500172521
353,1,1,1,0,1,1,0.9464191637755471
143,0,1,2,0,2,2,0.9463493864505921
402,1,1,2,2,2,2,0.9462855574187277
357,1,1,1,0,2,2,0.9462810168412462
642,2,1,2,2,2,2,0.9462417489299084
22,0,0,0,2,1,1,0.9462291950780897
599,2,1,1,0,2,2,0.9462284894635364
625,2,1,2,0,2,2,0.946206211155989
299,1,0,2,0,1,1,0.9461186249411152
557,2,0,2,2,0,2,0.945947705462804
64,0,0,2,1,0,1,0.945850695564055
31,0,0,1,0,1,1,0.9457987948513752
549,2,0,2,1,0,2,0.9457078381422716
317,1,0,2,2,1,1,0.9456259326953473
318,1,0,2,2,1,2,0.9455907842209064
621,2,1,2,0,1,1,0.9455637012785242
47,0,0,1,2,0,2,0.9455376751119181
494,2,0,0,1,0,1,0.9455164250124501
38,0,0,1,1,0,2,0.9455051294309762
58,0,0,2,0,1,1,0.9454306800625464
309,1,0,2,1,1,2,0.945413098834116
300,1,0,2,0,1,2,0.9454078813671487
308,1,0,2,1,1,1,0.9453855250119877
50,0,0,1,2,1,2,0.9453743851091756
40,0,0,1,1,1,1,0.9453723275091158
46,0,0,1,2,0,1,0.9452924179598557
32,0,0,1,0,1,2,0.9452753999971436
41,0,0,1,1,1,2,0.945232545047087
152,0,1,2,1,2,2,0.9451835492059724
251,1,0,0,1,0,1,0.9451773581014309
245,1,0,0,0,1,1,0.9451345942775801
37,0,0,1,1,0,1,0.945071501177252
260,1,0,0,2,0,1,0.94505686900008
65,0,0,2,1,0,2,0.9450131588669652
77,0,0,2,2,1,2,0.9448768190428941
67,0,0,2,1,1,1,0.9448728230765804
49,0,0,1,2,1,1,0.9448285833040151
59,0,0,2,0,1,2,0.9447876519895765
537,2,0,1,2,2,2,0.9447805020999236
68,0,0,2,1,1,2,0.9447576803323638
287,1,0,1,2,0,1,0.944741653977845
252,1,0,0,1,0,2,0.9447334506391721
503,2,0,0,2,0,1,0.9447188599876334
450,1,2,1,2,0,2,0.944700992779336
264,1,0,0,2,1,2,0.9446514807481624
254,1,0,0,1,1,1,0.9446413958497927
199,0,2,1,1,0,2,0.9445889372149959
73,0,0,2,2,0,1,0.944568290543149
246,1,0,0,0,1,2,0.9445614085598595
255,1,0,0,1,1,2,0.944528705714288
74,0,0,2,2,0,2,0.9445261782183556
488,2,0,0,0,1,1,0.9444650701193558
76,0,0,2,2,1,1,0.9444302456005774
261,1,0,0,2,0,2,0.9444222125918155
288,1,0,1,2,0,2,0.9441902304045621
263,1,0,0,2,1,1,0.944180185695057
369,1,1,1,2,0,2,0.944150657393145
140,0,1,2,0,1,2,0.9441324098928607
148,0,1,2,1,1,1,0.9439981751241978
149,0,1,2,1,1,2,0.9438000025507625
