,p,i,q,P,D,Q,score
593,2,1,1,0,0,2,-0.9664595712169157
137,0,1,2,0,0,2,-0.9715205699544236
512,2,0,1,0,0,1,-0.9840871109262672
295,1,0,2,0,0,0,-1.0201977405281477
672,2,2,1,0,0,2,-1.0564941716150207
539,2,0,2,0,0,1,-1.064249598158037
484,2,0,0,0,0,0,-1.2322981931731576
82,0,1,0,0,0,1,-1.2968445755323685
109,0,1,1,0,0,1,-1.348391076051985
108,0,1,1,0,0,0,-1.35136945708547
54,0,0,2,0,0,0,-1.3628389326265893
511,2,0,1,0,0,0,-1.4139498719979784
189,0,2,1,0,0,1,-1.4471243987206828
323,1,1,0,0,0,1,-1.450562330268446
27,0,0,1,0,0,0,-1.4801425492121916
538,2,0,2,0,0,0,-1.5041816974952509
81,0,1,0,0,0,0,-1.552039196211533
0,0,0,0,0,0,0,-1.5722775800533313
322,1,1,0,0,0,0,-1.6031783464676934
378,1,1,2,0,0,2,-1.6392750943036458
136,0,1,2,0,0,1,-1.695359017716557
135,0,1,2,0,0,0,-1.7245912447059735
350,1,1,1,0,0,1,-1.767304785169026
349,1,1,1,0,0,0,-1.9405790958193654
592,2,1,1,0,0,1,-2.1246669761990495
565,2,1,0,0,0,1,-2.1963114032286675
407,1,2,0,0,1,1,-2.265959043575759
591,2,1,1,0,0,0,-2.3367486499393713
425,1,2,0,2,1,1,-2.3796254027336734
417,1,2,0,1,1,2,-2.4029392838029366
564,2,1,0,0,0,0,-2.410576595508071
377,1,1,2,0,0,1,-2.4295214291908307
416,1,2,0,1,1,1,-2.4756012855173735
408,1,2,0,0,1,2,-2.475768358009692
422,1,2,0,2,0,1,-2.500594723461112
426,1,2,0,2,1,2,-2.5090152515051924
413,1,2,0,1,0,1,-2.5322925491833983
423,1,2,0,2,0,2,-2.5869918259848856
376,1,1,2,0,0,0,-2.6978197434064053
414,1,2,0,1,0,2,-2.725835153856336
161,0,2,0,0,0,0,-2.937309344060025
650,2,2,0,0,2,1,-3.722302829031702
646,2,2,0,0,1,0,-4.210202191129473
668,2,2,0,2,2,1,-5.668359125221469
664,2,2,0,2,1,0,-5.788276986427877
179,0,2,0,2,0,0,-6.655872007420283
163,0,2,0,0,0,2,-7.311200002083114
649,2,2,0,0,2,0,-8.040092006207866
162,0,2,0,0,0,1,-9.081385493549924
182,0,2,0,2,1,0,-9.926987435100477
186,0,2,0,2,2,1,-9.981883760758132
659,2,2,0,1,2,1,-10.438073255481145
170,0,2,0,1,0,0,-10.857094389891268
655,2,2,0,1,1,0,-11.05174564486593
181,0,2,0,2,0,2,-12.01649393929017
171,0,2,0,1,0,1,-13.03408768155749
180,0,2,0,2,0,1,-14.715809944292744
172,0,2,0,1,0,2,-15.744827738489022
165,0,2,0,0,1,1,-16.67930479157369
175,0,2,0,1,1,2,-17.642817254104738
174,0,2,0,1,1,1,-18.90336768517055
184,0,2,0,2,1,2,-18.952593849519488
166,0,2,0,0,1,2,-19.10363814087029
667,2,2,0,2,2,0,-19.11099381837955
183,0,2,0,2,1,1,-19.81347296537495
169,0,2,0,0,2,2,-22.88367249698903
457,1,2,2,0,0,0,-23.240984640058244
428,1,2,0,2,2,1,-23.269113350868356
178,0,2,0,1,2,2,-23.45454113706928
424,1,2,0,2,1,0,-23.541919809678546
187,0,2,0,2,2,2,-23.832894013602917
658,2,2,0,1,2,0,-24.35674851510471
695,2,2,2,0,0,0,-27.16104396717769
661,2,2,0,2,0,0,-28.57317061841097
177,0,2,0,1,2,1,-29.313702708863172
173,0,2,0,1,1,0,-30.186030778418314
419,1,2,0,1,2,1,-33.35534237792087
415,1,2,0,1,1,0,-34.71412935212535
214,0,2,2,0,0,0,-38.79251967900304
410,1,2,0,0,2,1,-42.697678021970354
652,2,2,0,1,0,0,-43.30972193778223
406,1,2,0,0,1,0,-44.39533622802861
188,0,2,1,0,0,0,-44.81440586474598
670,2,2,1,0,0,0,-46.04985844804956
643,2,2,0,0,0,0,-47.992954354123846
430,1,2,1,0,0,0,-48.584697895340675
403,1,2,0,0,0,0,-49.36503954756252
421,1,2,0,2,0,0,-57.39030967596319
458,1,2,2,0,0,1,-61.026442911859476
427,1,2,0,2,2,0,-63.93442969743015
696,2,2,2,0,0,1,-64.75505659780677
409,1,2,0,0,2,0,-68.89076537673458
215,0,2,2,0,0,1,-68.89924599206287
404,1,2,0,0,0,1,-74.48269182945944
405,1,2,0,0,0,2,-75.01980922378871
412,1,2,0,1,0,0,-77.05253064845238
644,2,2,0,0,0,1,-80.02773454620998
671,2,2,1,0,0,1,-80.03261314753578
431,1,2,1,0,0,1,-80.29119824938006
645,2,2,0,0,0,2,-82.1301793224623
418,1,2,0,1,2,0,-99.94197260146005
697,2,2,2,0,0,2,-100.94880568182711
216,0,2,2,0,0,2,-101.38078379298265
185,0,2,0,2,2,0,-279.6070643447097
168,0,2,0,0,2,1,-299.98586281198163
164,0,2,0,0,1,0,-304.2873890090044
176,0,2,0,1,2,0,-770.3166254993438
167,0,2,0,0,2,0,-3590.1007566408302
233,0,2,2,2,0,1,-148534.29155660162
396,1,1,2,2,0,2,-248182.11268976357
118,0,1,1,1,0,1,-384072.39253470814
145,0,1,2,1,0,1,-1961481.8590477877
224,0,2,2,1,0,1,-292795984.08056015
